index,id,lat,lon
105,U3RvcDoxOmRlOjExMDAwOjkwMDAxNjEwMTo6MQ,52.491268,13.395700
106,U3RvcDoxOmRlOjExMDAwOjkwMDAxNjEwMTo6Mg,52.491355,13.395745
107,U3RvcDoxOmRlOjExMDAwOjkwMDAxNjIwMTo6MQ,52.493448,13.421725
108,U3RvcDoxOmRlOjExMDAwOjkwMDAxNjIwMTo6Mg,52.493480,13.421844
109,U3RvcDoxOmRlOjExMDAwOjkwMDAxNjIwMjo6MQ,52.489216,13.407672
110,U3RvcDoxOmRlOjExMDAwOjkwMDAxNjIwMjo6Mg,52.489298,13.407737
111,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMTo6MQ,52.494625,13.388864
112,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMTo6Mg,52.494542,13.389109
113,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMTo6Mw,52.494594,13.388959
114,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMTo6NA,52.494575,13.389014
115,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMjo6MQ,52.485948,13.385808
116,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMjo6Mg,52.485946,13.385970
117,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMzo6MQ,52.499567,13.374084
118,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMzo6Mg,52.499430,13.374057
119,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMzo6Mw,52.499504,13.374061
120,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwMzo6NA,52.499494,13.374295
121,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwNDo6MQ,52.499129,13.382661
122,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwNDo6Mg,52.499087,13.382665
123,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwNDo6Mw,52.498643,13.383020
124,U3RvcDoxOmRlOjExMDAwOjkwMDAxNzEwNDo6NA,52.498769,13.383015
